CMP	Compass Minerals Intl Inc Common Stock	Industrials	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	1062955730
CMPX	Compass Therapeutics Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	428609238
CMRC	Commerce.com Inc. Series 1 Common Stock	Technology	Computer Software: Prepackaged Software	212947607
CMT	Core Molding Technologies Inc Common Stock	Industrials	Plastic Products	213438700
CNL	Collective Mining Ltd. Common Shares	Other		1553440342
CNNE	Cannae Holdings Inc. Common Stock	Consumer Discretionary	Restaurants	686614013
CNTN	Canton Strategic Holdings Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	181673503
CNXU	Conexeu Sciences Inc. Common Stock	Health Care	Industrial Specialties	132988900
COAG	Hemab Therapeutics Holdings Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	2074485116
CODI	D/B/A Compass Diversified Holdings Shares of Beneficial Interest	Consumer Discretionary	Home Furnishings	878003723
COFS	ChoiceOne Financial Services Inc. Common Stock	Finance	Major Banks	512974336
COOK	Traeger Inc. Common Stock	Consumer Discretionary	Consumer Electronics/Appliances	139827253
COUR	Coursera Inc. Common Stock	Technology	Computer Software: Prepackaged Software	1533520000
CPS	Cooper-Standard Holdings Inc. Common Stock	Consumer Discretionary	Auto Parts:O.E.M.	482967073
CRAI	CRA International Inc. Common Stock	Consumer Discretionary	Other Consumer Services	1072778143
CRBP	Corbus Pharmaceuticals Holdings Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	214301526
CRCT	Cricut Inc. Class A Common Stock	Technology	Industrial Machinery/Components	1160322065
CRMD	CorMedix Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	657070651
CRNC	Cerence Inc. Common Stock	Technology	Computer Software: Prepackaged Software	385814092
CRVS	Corvus Pharmaceuticals Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1210500384
CSTL	Castle Biosciences Inc. Common Stock	Health Care	Medical Specialities	1005384275
CSV	Carriage Services Inc. Common Stock	Consumer Discretionary	Other Consumer Services	538727480
CSWC	Capital Southwest Corporation Common Stock	Consumer Discretionary	Textiles	1527419045
CTEV	Claritev Corporation Class A Common Stock	Consumer Discretionary	Business Services	651291003
CTGO	Contango Silver & Gold Inc. Common Stock	Basic Materials	Precious Metals	661122461
CTKB	Cytek Biosciences Inc. Common Stock	Industrials	Biotechnology: Laboratory Analytical Instruments	610921289
CTMX	CytomX Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	808406344
CTNM	Contineum Therapeutics Inc. Class A Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	628272904
CTO	CTO Realty Growth Inc. Common Stock	Real Estate	Real Estate Investment Trusts	805562406
CTRI	Centuri Holdings Inc. Common Stock	Utilities	Oil & Gas Production	2073781109
CTRN	Citi Trends Inc. Common Stock	Consumer Discretionary	Clothing/Shoe/Accessory Stores	592751984
CUE	Cue Biopharma Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	199335520
CURI	CuriosityStream Inc. Class A Common Stock	Consumer Discretionary	Movies/Entertainment	160806056
CURV	Torrid Holdings Inc. Common Stock	Consumer Discretionary	Clothing/Shoe/Accessory Stores	242829730
CVEO	Civeo Corporation (Canada) Common Shares	Consumer Discretionary	Hotels/Resorts	352900366
CVGI	Commercial Vehicle Group Inc. Common Stock	Consumer Discretionary	Auto Parts:O.E.M.	131649890
CVLG	Covenant Logistics Group Inc. Class A Common Stock	Industrials	Trucking Freight/Courier Services	889491119
CVRX	CVRx Inc. Common Stock	Health Care	Medical/Dental Instruments	81256871
CWH	Camping World Holdings Inc. Class A Common Stock	Consumer Discretionary	Retail-Auto Dealers and Gas Stations	718932615
CXDO	Crexendo Inc. Common Stock	Telecommunications	Telecommunications Equipment	199855278
CYPH	Cypherpunk Technologies Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	260789804
CYRX	CryoPort Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	800762271
CZFS	Citizens Financial Services Inc. Common Stock	Finance	Major Banks	398833177
CZNC	Citizens & Northern Corp Common Stock	Finance	Major Banks	468279377
DAKT	Daktronics Inc. Common Stock	Consumer Discretionary	Miscellaneous manufacturing industries	930592778
DBI	Designer Brands Inc. Class A Common Stock	Consumer Discretionary	Clothing/Shoe/Accessory Stores	267087436
DBRG	DigitalBridge Group Inc.	Real Estate	Real Estate Investment Trusts	2986799826
DC	Dakota Gold Corp. Common Stock	Basic Materials	Metal Mining	798329296
DCO	Ducommun Incorporated Common Stock	Industrials	Military/Government/Technical	2541594801
DCTH	Delcath Systems Inc. Common Stock	Health Care	Medical/Dental Instruments	571836142
DDD	3D Systems Corporation Common Stock	Technology	Computer Software: Prepackaged Software	574868713
DEC	Diversified Energy Company Common Stock	Other		1184349570
DFDV	DeFi Development Corp. Common Stock	Finance	Finance: Consumer Services	181957027
DGICA	Donegal Group Inc. Class A Common Stock	Finance	Property-Casualty Insurers	721970035
DHX	DHI Group Inc. Common Stock	Consumer Discretionary	Business Services	196277339
DIN	Dine Brands Global Inc. Common Stock	Consumer Discretionary	Restaurants	401041872
DJCO	Daily Journal Corp. (S.C.) Common Stock	Consumer Discretionary	Newspapers/Magazines	865174722
DJT	Trump Media & Technology Group Corp. Common Stock	Technology	Computer Software: Programming Data Processing	2507030291
DLTH	Duluth Holdings Inc. Class B Common Stock	Consumer Discretionary	Clothing/Shoe/Accessory Stores	171769361
DMAC	DiaMedica Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	363998455
DNA	Ginkgo Bioworks Holdings Inc. Class A Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	447164925
DNUT	Krispy Kreme Inc. Common Stock	Consumer Staples	Food Chains	586430000
DOMO	Domo Inc. Class B Common Stock	Technology	Computer Software: Prepackaged Software	175184184
DRVN	Driven Brands Holdings Inc. Common Stock	Consumer Discretionary	Automotive Aftermarket	2237126305
DSGN	Design Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	947486196
DSGR	Distribution Solutions Group Inc. Common Stock	Consumer Discretionary	Industrial Specialties	1603212927
DSP	Viant Technology Inc. Class A Common Stock	Technology	Computer Software: Programming Data Processing	908046287
